selected_index,symbol,state,detail,price_history_rows,data_timestamp,provider,provider_error,avg_dollar_volume,market_cap,final_score
309,KEX,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,77081963.83,7649703936.0,54.97
310,PXED,provider_partial,missing or insufficient price history after fallback,167,2026-06-09T00:00:00,yfinance,,,,
311,GCO,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,7393364.327768326,,
312,SLGN,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,31774520.69,4089806848.0,46.79
313,SJ,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,508.32349999999997,,
314,FDBC,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,448968.636769104,,
315,TPCS,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,867.42975,,
316,SM,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,125473755.87,7451389952.0,52.26
317,PKOH,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,2357041.013346863,,
318,CHGG,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,81167.84315,,
319,AOSL,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,46143147.02,1228010496.0,31.04
320,A,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,329698450.66,38263877632.0,67.12
321,SANG,filtered_liquidity,price below minimum 5.0,505,2026-06-08T04:00:00+00:00,alpaca,,372.81000000000006,,
322,RACC,provider_partial,missing or insufficient price history after fallback,14,2026-06-09T00:00:00,yfinance,,,,
323,OUT,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,57384838.62,5396346368.0,62.27
324,AACI,filtered_liquidity,average dollar volume below minimum 20000000,505,2026-06-08T04:00:00+00:00,alpaca,,0.0,,
325,FNWD,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,309603.2437759399,,
326,AGEN,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,86696.01875000002,,
