sample,status,time_starttransfer,time_total,size_download
1,200,0.440852,0.701441,331703
2,200,0.150475,0.461772,331703
3,200,0.147867,0.520927,331703
4,200,0.129446,0.440291,331703
5,200,0.130874,0.435923,331703
6,200,0.223908,0.522580,331703
7,200,0.146185,0.448275,331703
8,200,0.193213,0.483775,331703
9,200,0.172347,0.479103,331703
10,200,0.128525,0.579099,331703
